PDB, CONSENSUS, DSSP, STRIDE, KAKSI, PROSS
3aczC, 0.9707792207792207, 0.9404145077720207, 0.9455958549222798, 0.8586118251928021, 0.8704663212435233
1sgvB, 0.9303482587064676, 0.8909774436090225, 0.8872180451127819, 0.7879746835443038, 0.8195488721804511
3m19A, 0.9746192893401016, 0.8987341772151899, 0.8945147679324894, 0.8924302788844621, 0.9409282700421941
3korD, 1.0, 0.9166666666666666, 0.8854166666666666, 0.8907563025210085, 0.7604166666666666
3i4sA, 0.9279279279279279, 0.9104477611940298, 0.917910447761194, 0.8523489932885906, 0.8283582089552238
3c2uA, 0.9207920792079208, 0.8680297397769516, 0.8432835820895522, 0.828996282527881, 0.8159851301115242
2bo4F, 0.8652037617554859, 0.8447368421052631, 0.8447368421052631, 0.7632241813602015, 0.8236842105263158
3ie4A, 0.9625, 0.9207920792079208, 0.9207920792079208, 0.8878504672897196, 0.8514851485148515
2chcB, 0.9349593495934959, 0.8757763975155279, 0.8881987577639752, 0.8470588235294118, 0.84472049689441
2gc6A, 0.9365079365079365, 0.8842364532019704, 0.8817733990147784, 0.8107476635514018, 0.8472906403940886
3hz6A, 0.9502923976608187, 0.8857142857142857, 0.8755102040816326, 0.8317025440313112, 0.7877551020408163
2qpxA, 0.9330855018587361, 0.8474114441416893, 0.8392370572207084, 0.8377659574468085, 0.8419618528610354
1vl4A, 0.9315960912052117, 0.8598130841121495, 0.8621495327102804, 0.7986577181208053, 0.8041958041958042
1z67A, 0.9615384615384616, 0.9365079365079365, 0.9285714285714286, 0.8666666666666667, 0.8888888888888888
2rfgA, 0.985981308411215, 0.9134948096885813, 0.9065743944636678, 0.8282828282828283, 0.8823529411764706
3h49B, 0.8940092165898618, 0.8771331058020477, 0.8361774744027304, 0.7692307692307693, 0.7781569965870307
2c0nA, 0.7669172932330827, 0.6898395721925134, 0.6684491978609626, 0.6748768472906403, 0.7272727272727273
3p97C, 0.9951456310679612, 0.93359375, 0.9296875, 0.8801498127340824, 0.92578125
3llvA, 1.0, 0.9694656488549618, 0.916030534351145, 0.8865248226950354, 0.8778625954198473
2hxmA, 0.8693181818181818, 0.7713004484304933, 0.7982062780269058, 0.7713004484304933, 0.7847533632286996
3aiaA, 0.9391891891891891, 0.865, 0.85, 0.8151658767772512, 0.855
2cxkE, 0.9384615384615385, 0.8941176470588236, 0.8705882352941177, 0.8315789473684211, 0.8352941176470589
2r78A, 0.9090909090909091, 0.8938053097345132, 0.8761061946902655, 0.8034188034188035, 0.8230088495575221
1zi9A, 0.96875, 0.9012875536480687, 0.9356223175965666, 0.8559322033898306, 0.9313304721030042
1vziB, 0.872093023255814, 0.816, 0.808, 0.7777777777777778, 0.76
1xhdA, 0.9811320754716981, 0.9349112426035503, 0.9230769230769231, 0.7630057803468208, 0.7692307692307693
3ebbB, 0.9748743718592965, 0.9186046511627907, 0.9147286821705426, 0.875, 0.8682170542635659
3n1fD, 0.9863013698630136, 0.8921568627450981, 0.9313725490196079, 0.8921568627450981, 0.8529411764705882
3clmA, 0.9037037037037037, 0.8620689655172413, 0.8649425287356322, 0.8011363636363636, 0.8160919540229885
2o4aA, 0.9324324324324325, 0.9047619047619048, 0.9285714285714286, 0.8602150537634409, 0.9166666666666666
3la7B, 0.9675324675324676, 0.9414634146341463, 0.9359605911330049, 0.8353909465020576, 0.8585365853658536
1qv9C, 0.8756756756756757, 0.8571428571428571, 0.8120300751879699, 0.8091872791519434, 0.7293233082706767
2p67A, 0.9203187250996016, 0.8774834437086093, 0.8774834437086093, 0.8299120234604106, 0.8675496688741722
2zo7A, 0.9570552147239264, 0.8995433789954338, 0.8949771689497716, 0.8348214285714286, 0.8721461187214612
3a9bA, 0.9266666666666666, 0.8502673796791443, 0.8502673796791443, 0.8556962025316456, 0.8743315508021391
2pdrB, 0.875, 0.8707482993197279, 0.8843537414965986, 0.7986577181208053, 0.7414965986394558
3pnaA, 0.9310344827586207, 0.8914728682170543, 0.8740157480314961, 0.7727272727272727, 0.7751937984496124
3cqbB, 0.8923076923076924, 0.8191489361702128, 0.7978723404255319, 0.7476635514018691, 0.7872340425531915
2j7uA, 0.8732718894009217, 0.8394415357766143, 0.8411867364746946, 0.8094488188976378, 0.7574171029668412
1vmeB, 0.9103448275862069, 0.8524173027989822, 0.8447837150127226, 0.802439024390244, 0.8015267175572519
1v4vA, 0.9335664335664335, 0.8901098901098901, 0.8791208791208791, 0.8430851063829787, 0.8434065934065934
1wrmA, 0.9663865546218487, 0.8974358974358975, 0.8717948717948718, 0.8484848484848485, 0.8525641025641025
3lncB, 0.9236111111111112, 0.8297872340425532, 0.8457446808510638, 0.7922077922077922, 0.8617021276595744
