PDB, CONSENSUS, DSSP, STRIDE, KAKSI, PROSS
3aczC, 0.9658119658119658, 0.9147727272727273, 0.9457831325301205, 0.9090909090909091, 0.84
1sgvB, 0.8589743589743589, 0.8446601941747572, 0.8571428571428571, 0.7151898734177216, 0.7096774193548387
3m19A, 0.975, 0.9619565217391305, 0.9774011299435028, 0.9736842105263158, 0.958974358974359
3korD, 1.0, 0.782608695652174, 0.6923076923076923, 0.8888888888888888, 0.5135135135135135
3i4sA, 0.9387755102040817, 0.8983050847457628, 0.9137931034482759, 0.8611111111111112, 0.7571428571428571
3c2uA, 0.9543568464730291, 0.9351535836177475, 0.9347826086956522, 0.8848684210526315, 0.8328445747800587
2bo4F, 0.8586956521739131, 0.8161764705882353, 0.8372093023255814, 0.768, 0.8
3ie4A, 0.9230769230769231, 0.8775510204081632, 0.8936170212765957, 0.8305084745762712, 0.8
2chcB, 0.8, 0.7058823529411765, 0.7666666666666667, 0.6666666666666666, 0.5882352941176471
2gc6A, 0.8636363636363636, 0.8383233532934131, 0.845679012345679, 0.7771084337349398, 0.7784090909090909
3hz6A, 0.9396551724137931, 0.8350515463917526, 0.8531073446327684, 0.7936507936507936, 0.68
2qpxA, 0.9120879120879121, 0.8382352941176471, 0.8296296296296296, 0.8515625, 0.7556818181818182
1vl4A, 0.9514563106796117, 0.8961038961038961, 0.9241379310344827, 0.8100558659217877, 0.7616580310880829
1z67A, 0.875, 0.8157894736842105, 0.8484848484848485, 0.7567567567567568, 0.7142857142857143
2rfgA, 0.9705882352941176, 0.9134615384615384, 0.9375, 0.7876106194690266, 0.8130081300813008
3h49B, 0.8260869565217391, 0.8, 0.7435897435897436, 0.7317073170731707, 0.6587301587301587
2c0nA, 0.8070175438596491, 0.7045454545454546, 0.686046511627907, 0.7311827956989247, 0.7386363636363636
3p97C, 0.9886363636363636, 0.9411764705882353, 0.9642857142857143, 0.9304347826086956, 0.9105691056910569
3llvA, 1.0, 0.926829268292683, 0.8333333333333334, 0.9444444444444444, 0.7804878048780488
2hxmA, 0.8488372093023255, 0.7837837837837838, 0.8108108108108109, 0.801980198019802, 0.7419354838709677
3aiaA, 0.92, 0.8625, 0.8607594936708861, 0.8295454545454546, 0.8255813953488372
2cxkE, 0.9354838709677419, 0.875, 0.9117647058823529, 0.8125, 0.7659574468085106
2r78A, 0.7241379310344828, 0.7391304347826086, 0.717391304347826, 0.7058823529411765, 0.64
1zi9A, 0.9846153846153847, 0.9230769230769231, 0.9885057471264368, 0.9156626506024096, 0.9468085106382979
1vziB, 0.8297872340425532, 0.7910447761194029, 0.796875, 0.7464788732394366, 0.7352941176470589
1xhdA, 0.9787234042553191, 0.9753086419753086, 0.9411764705882353, 0.9310344827586207, 0.7578947368421053
3ebbB, 0.9459459459459459, 0.8205128205128205, 0.8266666666666667, 0.8936170212765957, 0.7283950617283951
3n1fD, 0.9722222222222222, 0.9166666666666666, 0.9583333333333334, 0.9166666666666666, 0.8
3clmA, 0.9298245614035088, 0.8130841121495327, 0.8469387755102041, 0.8026315789473685, 0.7297297297297297
