PDB, CONSENSUS, DSSP, STRIDE, KAKSI, PROSS
3aczC, 1.0, 0.9655172413793104, 0.9655172413793104, 0.8253968253968254, 0.75
1sgvB, 0.9827586206896551, 0.8829787234042553, 0.8736842105263158, 0.8987341772151899, 0.88
3m19A, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.8666666666666667
3i4sA, 0.8, 0.8620689655172413, 0.8666666666666667, 0.7666666666666667, 0.7727272727272727
3c2uA, 0.8711656441717791, 0.7899159663865546, 0.7620967741935484, 0.7564102564102564, 0.7868020304568528
2bo4F, 0.8055555555555556, 0.7631578947368421, 0.7631578947368421, 0.6595744680851063, 0.7045454545454546
3ie4A, 1.0, 0.9615384615384616, 0.9444444444444444, 0.9583333333333334, 0.9019607843137255
2chcB, 1.0, 0.9411764705882353, 0.9295774647887324, 0.9655172413793104, 1.0
2gc6A, 0.9, 0.7887323943661971, 0.7887323943661971, 0.7792207792207793, 0.7222222222222222
3hz6A, 0.9230769230769231, 0.86, 0.8125, 0.8055555555555556, 0.75
2qpxA, 0.95, 0.7567567567567568, 0.7105263157894737, 0.84375, 0.896551724137931
1vl4A, 0.868421052631579, 0.7891566265060241, 0.7613636363636364, 0.7484276729559748, 0.7518248175182481
2rfgA, 1.0, 0.868421052631579, 0.868421052631579, 0.8275862068965517, 0.7741935483870968
3h49B, 0.9523809523809523, 0.95, 0.96, 0.8656716417910447, 0.8461538461538461
2c0nA, 0.7222222222222222, 0.5925925925925926, 0.5789473684210527, 0.5740740740740741, 0.6785714285714286
3p97C, 1.0, 0.9047619047619048, 0.9047619047619048, 0.782608695652174, 0.8947368421052632
3llvA, 1.0, 1.0, 1.0, 0.9333333333333333, 0.8387096774193549
2hxmA, 0.7857142857142857, 0.5416666666666666, 0.5416666666666666, 0.52, 0.6666666666666666
3aiaA, 0.868421052631579, 0.7346938775510204, 0.6938775510204082, 0.7346938775510204, 0.723404255319149
2cxkE, 0.9411764705882353, 0.9111111111111111, 0.8431372549019608, 0.851063829787234, 0.9210526315789473
2r78A, 1.0, 1.0, 1.0, 0.8461538461538461, 0.9615384615384616
1zi9A, 0.975609756097561, 0.8936170212765957, 0.8867924528301887, 0.9148936170212766, 0.88
1vziB, 0.9230769230769231, 0.8703703703703703, 0.8275862068965517, 0.8181818181818182, 0.7894736842105263
1xhdA, 0.9736842105263158, 0.8615384615384616, 0.8688524590163934, 0.6, 0.6981132075471698
3n1fD, 1.0, 1.0, 0.98, 0.8703703703703703, 0.9285714285714286
3clmA, 0.6296296296296297, 0.6842105263157895, 0.6857142857142857, 0.6511627906976745, 0.525
3la7B, 0.972972972972973, 0.9285714285714286, 0.8833333333333333, 0.8032786885245902, 0.8297872340425532
1qv9C, 0.9666666666666667, 0.8888888888888888, 0.9696969696969697, 0.72, 0.85
2p67A, 0.7058823529411765, 0.7, 0.7, 0.6097560975609756, 0.627906976744186
2zo7A, 0.9405940594059405, 0.8780487804878049, 0.8780487804878049, 0.8306451612903226, 0.8559322033898306
3a9bA, 1.0, 0.8918918918918919, 0.7857142857142857, 0.7857142857142857, 0.8529411764705882
2pdrB, 0.9666666666666667, 0.9743589743589743, 0.9743589743589743, 0.8604651162790697, 0.7631578947368421
3pnaA, 1.0, 1.0, 0.9090909090909091, 0.8636363636363636, 0.8529411764705882
3cqbB, 0.6153846153846154, 0.6190476190476191, 0.5714285714285714, 0.6, 0.5294117647058824
2j7uA, 0.8571428571428571, 0.8636363636363636, 0.8333333333333334, 0.7857142857142857, 0.5
1vmeB, 0.875, 0.8640776699029126, 0.8476190476190476, 0.7663551401869159, 0.7669902912621359
1v4vA, 0.86, 0.8070175438596491, 0.8214285714285714, 0.7666666666666667, 0.7540983606557377
1wrmA, 1.0, 0.782608695652174, 0.6666666666666666, 0.7407407407407407, 0.7619047619047619
3lncB, 0.8333333333333334, 0.7804878048780488, 0.7804878048780488, 0.7857142857142857, 0.76
3dwvB, 0.9444444444444444, 0.9523809523809523, 0.8846153846153846, 0.7916666666666666, 0.8076923076923077
3me7B, 0.9666666666666667, 0.9444444444444444, 0.85, 0.8421052631578947, 0.9411764705882353
3gj0B, 0.9024390243902439, 0.8541666666666666, 0.803921568627451, 0.7692307692307693, 0.8297872340425532
3d8tA, 0.9743589743589743, 0.8653846153846154, 0.8653846153846154, 0.8148148148148148, 0.875
3nrfA, 0.9, 0.75, 0.7213114754098361, 0.6417910447761194, 0.8260869565217391
2p7iB, 0.9285714285714286, 0.8269230769230769, 0.8269230769230769, 0.8181818181818182, 0.775
2i0kA, 0.8023255813953488, 0.7241379310344828, 0.6967213114754098, 0.6796875, 0.7075471698113207
2eu9A, 0.7575757575757576, 0.676923076923077, 0.6470588235294118, 0.5774647887323944, 0.6
2jjqA, 1.0, 0.912, 0.9076923076923077, 0.859504132231405, 0.8672566371681416
2xb4A, 0.9259259259259259, 0.8620689655172413, 0.8387096774193549, 0.75, 0.7428571428571429
3d7aB, 1.0, 0.8974358974358975, 0.8780487804878049, 0.918918918918919, 0.875
2v6aO, 0.9230769230769231, 0.9629629629629629, 0.9629629629629629, 0.8181818181818182, 0.75
2icgA, 1.0, 0.8620689655172413, 0.7666666666666667, 0.7272727272727273, 0.5862068965517241
2ywnA, 0.8787878787878788, 0.875, 0.8372093023255814, 0.72, 0.7209302325581395
2z0qA, 0.8823529411764706, 0.8269230769230769, 0.8113207547169812, 0.78, 0.7111111111111111
2dykA, 1.0, 0.9714285714285714, 0.9714285714285714, 0.8461538461538461, 0.90625
2ciaA, 0.9130434782608695, 0.78125, 0.7428571428571429, 0.75, 0.8125
3i4gA, 0.75, 0.525, 0.4, 0.4666666666666667, 0.34615384615384615
1wpnB, 0.9130434782608695, 0.8518518518518519, 0.8518518518518519, 0.7666666666666667, 0.7333333333333333
3q34A, 1.0, 0.9886363636363636, 0.967032967032967, 0.8877551020408163, 0.9390243902439024
3p6lA, 0.85, 0.7843137254901961, 0.7090909090909091, 0.7352941176470589, 0.6666666666666666
1vk4A, 0.8833333333333333, 0.8227848101265823, 0.8133333333333334, 0.8289473684210527, 0.7866666666666666
3pimA, 0.7586206896551724, 0.7027027027027027, 0.7027027027027027, 0.6666666666666666, 0.6388888888888888
2a6xA, 0.9240506329113924, 0.8842105263157894, 0.8349514563106796, 0.8333333333333334, 0.8695652173913043
1wmdA, 0.8902439024390244, 0.7757009345794392, 0.7410714285714286, 0.7033898305084746, 0.7102803738317757
3jscA, 0.875, 0.7631578947368421, 0.7631578947368421, 0.7575757575757576, 0.8823529411764706
3c18A, 0.9743589743589743, 0.9056603773584906, 0.9411764705882353, 0.8035714285714286, 0.975609756097561
3ed4B, 0.875, 0.8169014084507042, 0.7945205479452054, 0.7272727272727273, 0.6197183098591549
3o8qA, 1.0, 0.8666666666666667, 0.8666666666666667, 0.8135593220338984, 0.7741935483870968
2qedA, 0.9444444444444444, 0.8225806451612904, 0.8095238095238095, 0.75, 0.8431372549019608
