PDB, CONSENSUS, DSSP, STRIDE, KAKSI, PROSS
3aczC, 0.9657534246575342, 0.9605263157894737, 0.9382716049382716, 0.8306010928961749, 0.9591836734693877
1sgvB, 0.9692307692307692, 0.9710144927536232, 0.9452054794520548, 0.8227848101265823, 0.9552238805970149
3m19A, 1.0, 0.38461538461538464, 0.3939393939393939, 0.38235294117647056, 0.8333333333333334
3korD, 1.0, 0.958904109589041, 0.9571428571428572, 0.891566265060241, 0.9642857142857143
3i4sA, 0.9761904761904762, 0.9565217391304348, 0.9565217391304348, 0.8936170212765957, 0.9761904761904762
2bo4F, 0.8795811518324608, 0.8786407766990292, 0.863849765258216, 0.7822222222222223, 0.8656716417910447
2chcB, 0.9423076923076923, 0.8983050847457628, 0.9, 0.896551724137931, 0.9285714285714286
2gc6A, 1.0, 0.9702380952380952, 0.953757225433526, 0.8540540540540541, 0.9810126582278481
3hz6A, 0.968944099378882, 0.9489795918367347, 0.9303482587064676, 0.8785046728971962, 0.9479768786127167
2qpxA, 0.9430379746835443, 0.8711340206185567, 0.8711340206185567, 0.8287037037037037, 0.9259259259259259
1vl4A, 0.9888888888888889, 0.9166666666666666, 0.9439252336448598, 0.8532110091743119, 0.9595959595959596
1z67A, 0.9875, 0.9886363636363636, 0.956989247311828, 0.9081632653061225, 0.9761904761904762
2rfgA, 0.9921875, 0.9251700680272109, 0.896774193548387, 0.8580645161290322, 0.9703703703703703
3h49B, 0.9150943396226415, 0.9152542372881356, 0.873015873015873, 0.7555555555555555, 0.8782608695652174
2c0nA, 0.75, 0.7777777777777778, 0.75, 0.6785714285714286, 0.7674418604651163
3p97C, 1.0, 0.9368421052631579, 0.9019607843137255, 0.8679245283018868, 0.9578947368421052
3llvA, 1.0, 0.984375, 0.9375, 0.84, 0.9661016949152542
2hxmA, 0.9078947368421053, 0.8181818181818182, 0.8522727272727273, 0.8041237113402062, 0.8765432098765432
3aiaA, 1.0, 0.9577464788732394, 0.9444444444444444, 0.8513513513513513, 0.9850746268656716
2r78A, 1.0, 1.0, 0.972972972972973, 0.8409090909090909, 0.972972972972973
1zi9A, 0.9534883720930233, 0.8842105263157894, 0.9139784946236559, 0.7830188679245284, 0.9438202247191011
1xhdA, 1.0, 1.0, 1.0, 0.96, 1.0
3ebbB, 0.9814814814814815, 0.9611111111111111, 0.9508196721311475, 0.8666666666666667, 0.9367816091954023
3clmA, 0.9354838709677419, 0.9211822660098522, 0.9023255813953488, 0.8283261802575107, 0.9238578680203046
2o4aA, 0.9661016949152542, 0.9672131147540983, 0.9682539682539683, 0.8955223880597015, 0.967741935483871
3la7B, 1.0, 1.0, 0.9775280898876404, 0.9032258064516129, 1.0
1qv9C, 0.8333333333333334, 0.8478260869565217, 0.813953488372093, 0.8074534161490683, 0.826530612244898
2p67A, 0.9757575757575757, 0.9473684210526315, 0.9180327868852459, 0.8756476683937824, 0.9532163742690059
2zo7A, 1.0, 1.0, 0.6923076923076923, 0.5789473684210527, 0.9166666666666666
3a9bA, 0.921875, 0.7947019867549668, 0.8092105263157895, 0.803921568627451, 0.8695652173913043
2pdrB, 0.84375, 0.8421052631578947, 0.868421052631579, 0.7333333333333333, 0.8235294117647058
3pnaA, 0.8947368421052632, 0.8666666666666667, 0.8695652173913043, 0.7916666666666666, 0.9024390243902439
3cqbB, 0.9696969696969697, 0.9285714285714286, 0.9302325581395349, 0.8837209302325582, 0.9743589743589743
2j7uA, 0.8958333333333334, 0.8655172413793103, 0.8533333333333334, 0.8197278911564626, 0.8823529411764706
1vmeB, 0.8909090909090909, 0.8175182481751825, 0.8161764705882353, 0.7792207792207793, 0.859504132231405
1v4vA, 0.9319727891156463, 0.9005847953216374, 0.8837209302325582, 0.8088235294117647, 0.9025974025974026
